"gene_accession_id","gene_symbol"
"MGI:98967","Wt"
"MGI:96090","Asmt"
"MGI:98266","Sord"
"MGI:1928271","Malrd1"
"MGI:109279","Nnt"
"MGI:3665157","Rsxr"
"MGI:1345961","Coro1a"
"MGI:87868","Acads"
"MGI:1351634","Abcc6"
"MGI:104511","Tnfsf4"
