"parameter_id","group_id"
"IMPC_PAT_075_001",1
"IMPC_ECG_009_001",4
"IMPC_ECG_011_001",4
"IMPC_MAA_004_001",4
"IMPC_MAA_004_001",8
"IMPC_MAA_005_001",4
"IMPC_MAA_005_001",8
"IMPC_GEM_007_001",7
"IMPC_GEM_017_001",7
"IMPC_GEM_019_001",1
"IMPC_GEM_019_001",7
"IMPC_GEM_019_001",9
"IMPC_GEM_021_001",7
"IMPC_GEM_021_001",8
"IMPC_GEM_024_001",8
"IMPC_GEM_027_001",7
"IMPC_GEM_028_001",7
"IMPC_GEM_029_001",7
"IMPC_GEM_032_001",1
"IMPC_GEM_032_001",7
"IMPC_GEM_036_001",3
"IMPC_GEM_041_001",5
"IMPC_GEM_041_001",7
"IMPC_GEM_047_001",7
"IMPC_GEM_048_001",2
"IMPC_GEM_049_001",2
"IMPC_GEM_050_001",11
"IMPC_GEM_051_001",11
"IMPC_GEM_052_001",11
"IMPC_GEM_053_001",11
"IMPC_GEM_059_001",4
"IMPC_GEM_026_002",7
"IMPC_GEM_060_001",7
"IMPC_GEM_062_001",7
"IMPC_GEM_063_001",7
"IMPC_GEM_064_001",7
"IMPC_GEM_065_001",4
"IMPC_GEM_065_001",8
"IMPC_GEM_066_001",4
"IMPC_GEM_066_001",7
"IMPC_GEM_066_001",8
"IMPC_GEM_067_001",7
"IMPC_GEM_068_001",3
"IMPC_GEM_068_001",7
"IMPC_GEM_069_001",3
"IMPC_GEM_069_001",7
"IMPC_GEM_070_001",3
"IMPC_GEM_070_001",7
"IMPC_GEM_070_001",11
"IMPC_GEM_071_001",7
"IMPC_GEM_072_001",7
"IMPC_GEM_073_001",4
"IMPC_GEM_073_001",7
"IMPC_GEM_074_001",7
"IMPC_GEM_074_001",9
"IMPC_GEM_075_001",7
"IMPC_GEM_075_001",9
"IMPC_GEM_076_001",7
"IMPC_GEM_079_001",3
"IMPC_CAL_001_001",1
"IMPC_CAL_002_001",1
"IMPC_CAL_004_001",11
"IMPC_CAL_005_001",4
"IMPC_CAL_005_001",6
"IMPC_CAL_014_001",11
"IMPC_CAL_015_001",11
"IMPC_CAL_016_001",11
"IMPC_CAL_018_001",11
"IMPC_CAL_019_001",4
"IMPC_ECH_001_001",4
"IMPC_ECH_002_001",4
"IMPC_ECH_003_001",1
"IMPC_ECH_003_001",4
"IMPC_ECH_004_001",4
"IMPC_ECH_006_001",4
"IMPC_ECH_008_001",11
"IMPC_ECH_011_001",11
"IMPC_ECH_013_001",4
"IMPC_ECH_015_001",4
"IMPC_ECH_016_001",4
"IMPC_ECH_018_001",4
