"disease_id","gene_accession_id","phenodigm_score"
"ORPHA:71","MGI:1928271",25.34
"ORPHA:361","MGI:109279",26.15
"ORPHA:90363","MGI:1928271",13.43
"ORPHA:908","MGI:96090",9.1
"ORPHA:91348","MGI:96090",27.3
"ORPHA:99867","MGI:1345961",28.77
"OMIM:231550","MGI:109279",22.8
"OMIM:233450","MGI:1345961",28.16
"OMIM:140300","MGI:1345961",50.19
"OMIM:146200","MGI:98266",22.86
"OMIM:147630","MGI:109279",52.59
"OMIM:223370","MGI:87868",3.62
"OMIM:225200","MGI:98266",53.51
"OMIM:239900","MGI:98266",75.51
"OMIM:201710","MGI:109279",47.21
"OMIM:103900","MGI:109279",50.31
"OMIM:106220","MGI:98266",51.26
"OMIM:107250","MGI:98266",60.88
"OMIM:109100","MGI:1345961",52.51
"OMIM:109720","MGI:1928271",58.7
"OMIM:115650","MGI:98266",60.88
"OMIM:115665","MGI:98266",69.88
"OMIM:115700","MGI:98266",96.43
"OMIM:116100","MGI:98266",60.28
"OMIM:116200","MGI:98266",70.76
"OMIM:116300","MGI:98266",63.43
"OMIM:116600","MGI:98266",55.36
"OMIM:116800","MGI:98266",64.79
"OMIM:185070","MGI:1345961",19
"OMIM:193230","MGI:98266",40.67
"OMIM:300752","MGI:1928271",39.78
"OMIM:312910","MGI:98266",37.81
"OMIM:264800","MGI:1351634",7.35
"OMIM:266510","MGI:1928271",20.65
"OMIM:268100","MGI:98266",25.66
"OMIM:256450","MGI:109279",49.21
"OMIM:601371","MGI:98266",64.95
"OMIM:601547","MGI:98266",72.05
"OMIM:601820","MGI:109279",52.12
"OMIM:601885","MGI:98266",73.26
"OMIM:602485","MGI:109279",57.23
"OMIM:174770","MGI:1345961",33.25
"OMIM:176410","MGI:96090",49.76
"OMIM:178900","MGI:98266",79.74
"OMIM:604219","MGI:98266",49.13
"OMIM:604229","MGI:98266",42.87
"OMIM:604307","MGI:98266",52.14
"OMIM:605387","MGI:98266",62.38
"OMIM:606762","MGI:109279",44.85
"ORPHA:2571","MGI:98266",24.62
"OMIM:209950","MGI:1345961",38.94
"OMIM:212400","MGI:98266",78.51
"OMIM:216820","MGI:98266",32.47
"OMIM:619324","MGI:87868",68.02
"OMIM:269400","MGI:98266",50.65
"OMIM:270150","MGI:1345961",42.47
"OMIM:270400","MGI:1928271",5.6
"OMIM:273680","MGI:98266",39.81
"ORPHA:229717","MGI:1345961",32.61
"ORPHA:1656","MGI:1345961",35.09
"ORPHA:171844","MGI:98266",32.06
"ORPHA:3233","MGI:98266",41.8
"ORPHA:329918","MGI:1345961",39.15
"OMIM:614662","MGI:109279",42.82
"OMIM:614885","MGI:98266",29.13
"OMIM:613195","MGI:98266",41.56
"OMIM:608367","MGI:98266",56.1
"OMIM:609741","MGI:98266",68.8
"OMIM:611391","MGI:98266",60.96
"OMIM:611489","MGI:109279",18.06
"OMIM:611544","MGI:98266",57.05
"OMIM:611597","MGI:98266",74.98
"OMIM:611881","MGI:1928271",18.5
"OMIM:612227","MGI:109279",52.64
"OMIM:610021","MGI:109279",56
"OMIM:610202","MGI:98266",50.41
"OMIM:610256","MGI:98266",46.28
"OMIM:610425","MGI:98266",66.93
"OMIM:610623","MGI:98266",46.18
"OMIM:600881","MGI:98266",72.36
"OMIM:615188","MGI:98266",67.97
"OMIM:615274","MGI:98266",60.96
"OMIM:615387","MGI:1345961",44.29
"OMIM:614186","MGI:98266",25.86
"OMIM:614284","MGI:98266",28.85
"OMIM:614377","MGI:1345961",39.47
"OMIM:613677","MGI:109279",30.43
"OMIM:613763","MGI:98266",52.17
"OMIM:613791","MGI:1345961",47.59
"OMIM:613826","MGI:98266",35.58
"OMIM:613829","MGI:98266",40.99
"OMIM:617315","MGI:98266",51.55
"OMIM:617319","MGI:98266",61.2
"OMIM:617053","MGI:1345961",13.2
"OMIM:617251","MGI:98266",59.63
"OMIM:615816","MGI:1345961",18.45
"OMIM:615995","MGI:98266",32.88
"ORPHA:163","MGI:98266",97.86
"ORPHA:199296","MGI:109279",47.58
"ORPHA:2035","MGI:1345961",29.13
"ORPHA:206572","MGI:1345961",32.81
"ORPHA:1068","MGI:98266",63.31
"ORPHA:1069","MGI:98266",32.68
"ORPHA:117","MGI:1345961",19.57
"ORPHA:1303","MGI:1345961",28.69
"ORPHA:1380","MGI:98266",44.67
"ORPHA:1397","MGI:98266",55.24
"OMIM:619649","MGI:98266",24.18
"OMIM:619781","MGI:98266",49.36
"ORPHA:556030","MGI:109279",26.06
"ORPHA:556037","MGI:109279",27.96
"ORPHA:449395","MGI:1928271",7.5
"ORPHA:47612","MGI:1345961",31.51
"ORPHA:482","MGI:1345961",31.04
"ORPHA:48435","MGI:1345961",22.73
"ORPHA:3453","MGI:109279",32.76
"ORPHA:37202","MGI:1345961",28.41
"ORPHA:39041","MGI:1345961",31.77
"ORPHA:400","MGI:1345961",20.65
"ORPHA:403","MGI:109279",30.51
"ORPHA:404","MGI:109279",30.92
"ORPHA:64","MGI:1345961",12.25
"ORPHA:2137","MGI:1345961",39.97
"ORPHA:251274","MGI:109279",22.34
"ORPHA:231183","MGI:98266",25.64
"ORPHA:231580","MGI:109279",24.72
"ORPHA:79480","MGI:1345961",37.31
"ORPHA:81","MGI:1345961",30.9
"ORPHA:818","MGI:1928271",2.18
"ORPHA:758","MGI:1351634",5.83
"ORPHA:786","MGI:109279",32.77
"ORPHA:79324","MGI:87868",3.72
"ORPHA:309263","MGI:1928271",8.25
"ORPHA:309271","MGI:1928271",8.44
"ORPHA:31150","MGI:87868",12.26
"ORPHA:90068","MGI:1345961",8.58
"ORPHA:90186","MGI:1345961",19.15
"ORPHA:90291","MGI:1345961",34.73
"ORPHA:443811","MGI:1345961",24.97
"ORPHA:69663","MGI:1928271",42.6
"ORPHA:69665","MGI:1928271",17.35
"ORPHA:699","MGI:1345961",14
"ORPHA:703","MGI:1345961",31.48
"ORPHA:727","MGI:1345961",30.19
"ORPHA:35737","MGI:98266",30.18
"ORPHA:90654","MGI:98266",35.23
"ORPHA:91139","MGI:1345961",21.34
"ORPHA:91349","MGI:96090",24.56
"ORPHA:91495","MGI:98266",26.56
"ORPHA:99827","MGI:1928271",6.44
"OMIM:246700","MGI:87868",33.29
"OMIM:233420","MGI:3665157",50.7
"OMIM:234700","MGI:1351634",33.44
"OMIM:136800","MGI:98266",63.64
"OMIM:147610","MGI:98266",57.62
"OMIM:217600","MGI:98266",68.48
"OMIM:219080","MGI:109279",31.94
"OMIM:224100","MGI:1928271",36.56
"OMIM:152700","MGI:1345961",52.19
"OMIM:154230","MGI:3665157",21.42
"OMIM:156850","MGI:98266",44.35
"OMIM:161200","MGI:1345961",9.34
"OMIM:235700","MGI:1928271",32.7
"OMIM:244450","MGI:87868",3.88
"OMIM:203780","MGI:98266",26.16
"OMIM:110150","MGI:98266",42.38
"OMIM:120040","MGI:98266",76.82
"OMIM:121900","MGI:98266",72.15
